% Model,TEC_discharge_model_006.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 20:39"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,10.199032414116457,0.9999999995248168,5.666666785707007E-9,4.055610724803513,0.11148736825462591,4.305143483325863,298.00000000000006
1,10.199197463082406,0.9997624397444816,0.0028333390004585462,4.045883457120372,0.11160134928201806,4.296031724894288,298.00000000000006
2,10.199247391397133,0.9995248799640878,0.005666672334478765,4.041631325472122,0.11162655185892419,4.292246695104471,298.00000000000006
3,10.19928380091818,0.9992873201836793,0.008500005668581362,4.038070740291258,0.11165003771502224,4.289166293074509,298.00000000000006
4,10.199310223989723,0.9990497604032602,0.011333339002776655,4.0350445867586675,0.11167710681854999,4.286592798089353,298.00000000000006
5,10.199331112459753,0.9988122006228346,0.014166672337059597,4.032348643515684,0.11170996586251163,4.2843541657625765,298.00000000000006
6,10.199348583163948,0.9985746408424012,0.01700000567142943,4.029864220372613,0.11175922500800474,4.282357625776091,298.00000000000006
7,10.199363921406938,0.9983370810618419,0.01983333900730517,4.027533090817209,0.11185164851235452,4.280547036891437,298.00000000000006
8,10.199378258824794,0.9980995212813667,0.022666672342177754,4.025298763582316,0.11197472295196548,4.278854465356984,298.00000000000006
9,10.19939338269198,0.9978619615009127,0.025500005676773997,4.023178667199768,0.11211316691922503,4.27727982812345,298.00000000000006
10,10.1994081047563,0.9976244017204645,0.02833333901132902,4.021170098220277,0.11225635108298136,4.275808005821637,298.00000000000006
11,10.199422744813036,0.9973868419400098,0.03116667234591762,4.019265944646234,0.11239700940343005,4.274424698809381,298.00000000000006
12,10.199437492559165,0.9971492821595593,0.03400000568055823,4.017460382720715,0.1125298605752261,4.273118849548839,298.00000000000006
