% Model,TEC_discharge_model_008.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 21:13"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,10.197226710805847,0.9999999995248157,5.666666881387912E-9,4.106073505438951,0.11148736825462591,4.305143495820738,298.00000000000006
1,10.19829214928589,0.999762439744435,0.0028333390009629457,4.096237407337681,0.11160145749582807,4.296301347212004,298.00000000000006
2,10.198522471619325,0.9995248799639755,0.005666672335804725,4.09199974261119,0.11162663154504773,4.292568666920357,298.00000000000006
3,10.198670469605778,0.9992873201834772,0.008500005670982394,4.088511585094558,0.11164976826285396,4.289555762112168,298.00000000000006
4,10.198771681775513,0.9990497604029472,0.011333339006526975,4.085509226161067,0.111676609810307,4.287008213478759,298.00000000000006
5,10.198846448253647,0.998812200622382,0.01416667234243069,4.082819457869596,0.11170947264901979,4.284770356200856,298.00000000000006
6,10.19890294480334,0.9985746408550842,0.017000005520166037,4.080352635499607,0.11175839123946585,4.2827758366427044,298.00000000000006
7,10.198948420504644,0.9983370810712011,0.019833338895674478,4.078041095570569,0.11185056300125382,4.280967701474893,298.00000000000006
8,10.198986751911898,0.9980995212899092,0.022666672240307002,4.075862536017758,0.11197083529981908,4.279308203149054,298.00000000000006
9,10.19902635743252,0.9978619615085264,0.025500005585998846,4.073799940480564,0.11210580627591367,4.277767560199059,298.00000000000006
10,10.19906334303905,0.9976244017273052,0.02833333892979288,4.071841200410603,0.11224605449323063,4.276322503791821,298.00000000000006
11,10.199097846774508,0.9973868419461711,0.031166672272466337,4.069978975617203,0.11238473809947104,4.274959265533874,298.00000000000006
12,10.199130631412398,0.997149282165103,0.03400000561443946,4.068207464664516,0.11251677190877313,4.2736671281701115,298.00000000000006
13,10.199162276707028,0.9969117223840572,0.036833338956077766,4.066506096053158,0.11263984763789611,4.272424124480683,298.00000000000006
14,10.19919296499133,0.996674162603042,0.03966667229739363,4.064885662227029,0.11274940145161212,4.271235498165632,298.00000000000006
15,10.19922288060421,0.9964366028220464,0.04250000563848396,4.063345348634551,0.11284272298409782,4.270098790686356,298.00000000000006
16,10.199252158817277,0.9961990430410567,0.045333338979446546,4.061878148044897,0.11291807704478452,4.2690096693071045,298.00000000000006
17,10.199280892565426,0.9959614832600768,0.04816667232034831,4.060476812545699,0.11297423226310987,4.267964242284246,298.00000000000006
18,10.199309123340743,0.9957239234790942,0.0510000056612598,4.059133481657054,0.11301032952685224,4.266958277661481,298.00000000000006
19,10.199336861621836,0.9954863636981088,0.05383333900223427,4.057840465007982,0.11302564315298112,4.265988085912353,298.00000000000006
20,10.199364101205997,0.9952488039171119,0.05666667234330787,4.0565891435653265,0.1130255040833915,4.265050623379563,298.00000000000006
21,10.199390829529474,0.9950112441360555,0.05950000568511174,4.0553733885747505,0.1130229835521164,4.264143343349619,298.00000000000006
22,10.199417034952303,0.9947736843598648,0.06233333896888001,4.0541904987629,0.11301888719544341,4.263264043791935,298.00000000000006
23,10.199442693429132,0.9945361245796309,0.0651666723008478,4.0530378516826415,0.11301351936041076,4.262410519206376,298.00000000000006
24,10.199467811558577,0.99429856479546,0.06800000567980002,4.051913564537159,0.11300715043830954,4.261581255192073,298.00000000000006
25,10.19949238744024,0.9940610050127554,0.07083333904125648,4.050815800457344,0.11300001940037392,4.2607747504492455,298.00000000000006
26,10.199516418645823,0.9938234452300445,0.07366667240279279,4.049742849605723,0.11299233821381723,4.259989603619763,298.00000000000006
27,10.199539912169865,0.9935858854486475,0.07650000574867215,4.048693275149371,0.11298429747603839,4.259224665543624,298.00000000000006
28,10.19956326630476,0.9933483256677874,0.07933333908811264,4.04766553447157,0.1129760654994681,4.2584786018029765,298.00000000000006
29,10.199586337939756,0.9931107658869884,0.08216667242684586,4.046657744647903,0.11296779281707395,4.257750015723599,298.00000000000006
30,10.19960880965507,0.9928732061061085,0.08500000576655464,4.045667758938278,0.11295961463935256,4.257037903049066,298.00000000000006
31,10.199630717188802,0.992635646325149,0.08783333910717128,4.044693570792798,0.11295165305147653,4.25634138025641,298.00000000000006
32,10.199652080099245,0.9923980865441476,0.09066667244831429,4.043733692486443,0.11294401949104849,4.255659640054816,298.00000000000006
33,10.199672910712616,0.9921605267631228,0.09350000578972334,4.0427868525652855,0.11293681650928873,4.254991933415433,298.00000000000006
34,10.199693218504525,0.9919229669820864,0.09633333913129641,4.041852004017207,0.11293013943478228,4.254337571274893,298.00000000000006
35,10.19971301353126,0.9916854072010386,0.09916667247301333,4.040928289749521,0.11292407761067227,4.253695915666155,298.00000000000006
36,10.19973230714244,0.9914478474199734,0.10200000581486425,4.040015026707309,0.11291871544150958,4.253066372068662,298.00000000000006
37,10.199751110397342,0.991210287638905,0.10483333915683118,4.039111572664508,0.11291413316805256,4.252448385253522,298.00000000000006
38,10.19976943443443,0.9909727278578274,0.10766667249889247,4.038217492475545,0.11291040765744005,4.251841436655471,298.00000000000006
39,10.199787290471347,0.9907351680767436,0.11050000584102992,4.037332268760362,0.11290761287346995,4.251245041652783,298.00000000000006
40,10.199804689752137,0.9904976082896045,0.11333333925538377,4.03645547893841,0.11290582042709936,4.250658748721601,298.00000000000006
41,10.199821641910773,0.9902600485049147,0.11616667264047265,4.035586614634524,0.1129051000233118,4.250082134050963,298.00000000000006
42,10.199838155050358,0.9900224887559836,0.11900000559911407,4.034724717569061,0.11290919852935569,4.249514803422893,298.00000000000006
43,10.19985424112758,0.989784928965039,0.1218333390588939,4.033869699144488,0.11292372377677118,4.248956385690071,298.00000000000006
44,10.199869906160378,0.9895473691755033,0.12466667250176236,4.033022412647704,0.1129477213731342,4.2484065374143505,298.00000000000006
45,10.199885165483932,0.9893098093924291,0.12750000586767868,4.032183582674746,0.11298015844234431,4.247864897039843,298.00000000000006
46,10.199900026779028,0.9890722495993757,0.13033333935252994,4.031354018292312,0.1130200455510316,4.247331184627403,298.00000000000006
47,10.199914498676659,0.9888346898332399,0.13316667251640119,4.030534454960363,0.11306643359231218,4.246805119341516,298.00000000000006
48,10.199928592315283,0.9885971300417247,0.13600000598295922,4.029724991584938,0.11311842200615888,4.246286426902582,298.00000000000006
49,10.199942315270114,0.9883595702621968,0.13883333930653155,4.028925992238627,0.11317515731362322,4.245774848347766,298.00000000000006
50,10.199955675855401,0.9881220104834139,0.14166667262118793,4.028137962427817,0.11323583123179884,4.245270155853653,298.00000000000006
51,10.199968683045265,0.987884450708032,0.14450000589528836,4.027360552221733,0.1132996886445848,4.244772104235755,298.00000000000006
52,10.199981346447288,0.9876468909250398,0.14733333926018802,4.026593902752753,0.11336602100429943,4.244280459528514,298.00000000000006
53,10.199993673240762,0.9874093311418759,0.1501666726271534,4.025838287843661,0.1134341616316699,4.243795005442847,298.00000000000006
54,10.200005669786755,0.9871717713599171,0.15300000597970126,4.025093576172015,0.11350348913104649,4.243315539909221,298.00000000000006
55,10.200017068260678,0.9869342115787088,0.15583333932330812,4.024359735723337,0.11357342393450691,4.242841922693568,298.00000000000006
56,10.200027670598509,0.9866966517977445,0.15866667266401868,4.023636753864339,0.11364342540956415,4.242374287941664,298.00000000000006
57,10.200038130432647,0.9864590920167999,0.16150000600446807,4.022924768610587,0.11371298566957512,4.241912469185813,298.00000000000006
58,10.200048410652487,0.9862215322358241,0.16433333934527808,4.022223328891188,0.1137816390628882,4.2414562317897895,298.00000000000006
59,10.200058504395466,0.9859839724548594,0.16716667268602156,4.021532349772425,0.1138489435332158,4.241005393121823,298.00000000000006
60,10.20006840918051,0.9857464126739118,0.1700000060265324,4.020851757671335,0.11391448595795046,4.240559768531892,298.00000000000006
61,10.200078125350739,0.985508852892986,0.17283333936673967,4.020181280453848,0.11397788185780348,4.240119178281953,298.00000000000006
62,10.200087654621798,0.9852712930979998,0.17566667287467067,4.019520648213606,0.11403876795941714,4.239683461668799,298.00000000000006
63,10.200096998524565,0.9850337328931161,0.1785000112714263,4.018869792607427,0.11409680588803961,4.239252448666066,298.00000000000006
64,10.200106124250727,0.9847961728719182,0.18133334747733032,4.018228752038698,0.1141516779318784,4.2388260205599435,298.00000000000006
65,10.20011503729033,0.9845586137445987,0.18416667302210318,4.01759738916493,0.11420308113740421,4.238404064206334,298.00000000000006
66,10.200123755274873,0.9843210549008483,0.18699999518483823,4.0169753610291705,0.11425072572424749,4.237986450725183,298.00000000000006
67,10.20013227572328,0.9840834948864998,0.18983333130905472,4.016362412317631,0.11429433404087208,4.237573060293077,298.00000000000006
68,10.200140558779912,0.9838459341297155,0.19266667628818773,4.015758774449594,0.11433363682698913,4.237163824153752,298.00000000000006
69,10.200148632026982,0.9836083740099104,0.1955000136701967,4.015163848278297,0.11436837275342936,4.236758655600761,298.00000000000006
70,10.200156518137332,0.9833708143113102,0.19833334602855757,4.014577068914354,0.114398283612949,4.2363574339204355,298.00000000000006
71,10.200164206632362,0.9831332546513027,0.2011666779266068,4.013997918538068,0.11442471666285678,4.235960055015853,298.00000000000006
72,10.200171705034489,0.9828956947147022,0.20400001312357552,4.013425929012043,0.11445050487517436,4.235566413870097,298.00000000000006
73,10.200179007141017,0.9826581349228918,0.20683334659361433,4.012860946263738,0.11447571046395766,4.235176416561774,298.00000000000006
74,10.200186130768207,0.9824205756593911,0.20966667376263454,4.012302636583096,0.11450033733579196,4.234789947639713,298.00000000000006
75,10.200193094392183,0.98218301582792,0.21250000770571498,4.011750644889645,0.11452439177917292,4.234406878136237,298.00000000000006
76,10.200199876131933,0.9819454557286114,0.21533334484324224,4.011204978794731,0.1145478801590596,4.234027113303623,298.00000000000006
77,10.2002064843809,0.9817078959898217,0.21816667768095688,4.010665385383963,0.1145708091432372,4.233650546076713,298.00000000000006
78,10.200212940228251,0.9814703363010797,0.22100000992171026,4.01013145401778,0.11459318534444791,4.233277053354843,298.00000000000006
79,10.20021923707538,0.981232776509928,0.2238333433839515,4.009603008462875,0.11461501575628444,4.232906513401337,298.00000000000006
80,10.200225376294792,0.9809952167449167,0.2266666765343573,4.0090797834825445,0.11463630744733115,4.232538807032161,298.00000000000006
81,10.200231363851637,0.9807576571284731,0.22950000791282843,4.0085614946860755,0.1146570673008606,4.2321738118224,298.00000000000006
82,10.200237207849016,0.980520097310313,0.23233334169716807,4.008047832261866,0.11467730190805764,4.2318113976197065,298.00000000000006
83,10.200242889467676,0.980282537460966,0.23516667585344564,4.007538681861508,0.11469701762928815,4.231451453710645,298.00000000000006
84,10.200248419344586,0.9800449776526604,0.2380000095202679,4.007033683480042,0.11471622074296337,4.231093858179961,298.00000000000006
85,10.200253778607706,0.979807417916619,0.2408333423251909,4.006532626576922,0.11473491751911914,4.230738496788279,298.00000000000006
86,10.200258950549344,0.9795698581682736,0.2436666752768053,4.006035295202777,0.11475311398400724,4.230385259255441,298.00000000000006
