% Model,TEC_discharge_model_001.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 19:13"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,9.999065228203976,0.9999999995341307,5.555555560573874E-9,4.057617736367643,0.1114873681909893,4.305143487727975,298.00000000000006
1,9.999269814672024,0.9997670977886851,0.00277778333381716,4.044507016418223,0.11160035545389581,4.292706701447264,298.00000000000006
2,9.999323657337952,0.9995341960432038,0.005555561112299776,4.039075965826216,0.11162517978835057,4.287731695179856,298.00000000000006
3,9.999359255414115,0.999301294297673,0.008333338891223185,4.034717657399621,0.1116473690806911,4.283826468164213,298.00000000000006
4,9.999384149665751,0.9990683925521453,0.01111111667012368,4.031083472962819,0.11167232459792817,4.280630324041204,298.00000000000006
5,9.999404205021046,0.9988354908066353,0.013888894448772837,4.027822556063736,0.1117030477260143,4.277831383769178,298.00000000000006
6,9.999421841693605,0.9986025890611173,0.01666667222750291,4.024886864152052,0.11174392593971418,4.275362055023817,298.00000000000006
7,9.999437178511295,0.9983696873155974,0.01944445000630637,4.022163107048026,0.1118240863601758,4.273138399514666,298.00000000000006
8,9.999451160052647,0.9981367855700664,0.022222227785180154,4.019615495373075,0.11193430385600855,4.271108389089056,298.00000000000006
9,9.999464384072999,0.9979038838245347,0.025000005564122865,4.017221174968473,0.11206128657805886,4.26923610081485,298.00000000000006
10,9.99947723381991,0.9976709820789915,0.027777783343133786,4.014963314362055,0.11219567658538919,4.267495512630658,298.00000000000006
11,9.999489951647307,0.9974380803334443,0.030555561122212693,4.012829073211667,0.11233066122077615,4.265867057355425,298.00000000000006
12,9.999502685390567,0.9972051785878965,0.03333333890135937,4.010808380764983,0.11246115825373712,4.264335576752625,298.00000000000006
13,9.999515380756282,0.9969722768423374,0.036111116680551246,4.008873778308044,0.1125848549065171,4.262872169693785,298.00000000000006
14,9.999528193524553,0.9967393750976896,0.03888889444892827,4.007036530601991,0.11269720275988696,4.261482572739981,298.00000000000006
15,9.999541188942489,0.9965064733526852,0.041666672221551834,4.005295524036072,0.11279542600666392,4.260162838082251,298.00000000000006
16,9.999554392454344,0.9962735716072186,0.04444444999966391,4.003643553530855,0.11287770040950511,4.258906762606715,298.00000000000006
17,9.999568134070058,0.996040669861625,0.0472222277793079,4.002071026327029,0.11294275743713891,4.2577076235257705,298.00000000000006
18,9.999582074040136,0.9958077681159764,0.05000000555955059,4.000569695856883,0.11298963460254606,4.256560031514759,298.00000000000006
19,9.99959617768226,0.995574866370331,0.05277778333984272,3.999131108042017,0.11301762603990534,4.255458890324918,298.00000000000006
20,9.99961040231659,0.9953419646246888,0.05555556112003131,3.9977470222286677,0.11302614790586056,4.254399818717178,298.00000000000006
21,9.999624706503822,0.9951090628790609,0.058333338900134216,3.996408449457316,0.1130250330571859,4.253379189741364,298.00000000000006
22,9.999639052183143,0.9948761611334292,0.06111111668019813,3.9951104092817804,0.11302221571873966,4.252393938844559,298.00000000000006
23,9.999653393111464,0.9946432593878008,0.06388889446026075,3.993849547079662,0.11301799685049804,4.251441093361186,298.00000000000006
24,9.999667708542734,0.9944103576421678,0.0666666722403271,3.9926234297660916,0.11301264411853182,4.250518559655251,298.00000000000006
25,9.99968197363977,0.9941774558965434,0.06944445002040228,3.991429703727053,0.11300639470249248,4.249624291730153,298.00000000000006
26,9.999696164278035,0.9939445541509082,0.07222222780048851,3.9902661935155757,0.11299945923768136,4.248756394203291,298.00000000000006
27,9.999710264040173,0.9937116524052765,0.07500000558058725,3.98913107478203,0.1129920271359453,4.247913296920279,298.00000000000006
28,9.999724249804641,0.9934787506642687,0.0777777833055496,3.9880224779393405,0.1129842659869605,4.247093342990319,298.00000000000006
29,9.999738100033557,0.9932458489201477,0.08055556106759407,3.986938782469132,0.11297632619718541,4.246295033923355,298.00000000000006
30,9.999751797438547,0.9930129471730131,0.08333333886559537,3.9858782515780633,0.11296834350880584,4.2455170549256795,298.00000000000006
31,9.999765328743202,0.9927800454246911,0.0861111166777645,3.9848386756437715,0.11296044018666676,4.244758235337838,298.00000000000006
32,9.99977868251872,0.992547143677884,0.08888889447187545,3.98381820656578,0.11295272703412662,4.244017506516624,298.00000000000006
33,9.999791849527039,0.9923142419319139,0.09166667225602308,3.982815116445231,0.11294530514314072,4.243293905952918,298.00000000000006
34,9.9998045232229,0.9920813401862867,0.09444445003607035,3.981828290789874,0.11293826788546094,4.242586778796015,298.00000000000006
35,9.999816857670769,0.9918484384407136,0.09722222781540735,3.980856616239142,0.11293170201812687,4.241895981029911,298.00000000000006
36,9.999829052782284,0.9916155366951203,0.1000000055950753,3.979899184270438,0.1129256891516259,4.241220666909267,298.00000000000006
37,9.999841092483218,0.9913826349494923,0.10277778337509977,3.978954864779773,0.11292030625643253,4.240560006115344,298.00000000000006
38,9.99985296769388,0.9911497332038531,0.10555556115529573,3.9780229020947604,0.11291562668709373,4.239913229845654,298.00000000000006
39,9.999864673188162,0.9909168314582087,0.10833333893553493,3.977102575477728,0.11291172071963149,4.239279622140237,298.00000000000006
40,9.999876205561181,0.9906839297125626,0.11111111671576293,3.9761931687868914,0.11290865598783983,4.238658513623022,298.00000000000006
41,9.999887562569409,0.9904510279669232,0.11388889449596057,3.975294104418639,0.1129064979909431,4.238049274793479,298.00000000000006
42,9.999898742787543,0.9902181262212872,0.11666667227612704,3.9744047559984597,0.11290531048202256,4.2374513168513674,298.00000000000006
43,9.999909745450145,0.9899852244756472,0.11944445005626261,3.9735242374080064,0.1129057464531841,4.236864086745169,298.00000000000006
44,9.99992057021409,0.9897523227300216,0.12222222783636222,3.972651571841525,0.11291446537463559,4.236287062581427,298.00000000000006
45,9.999931215126182,0.9895194209381002,0.12500000616847093,3.9717872168510073,0.11293256756267218,4.23571975810143,298.00000000000006
46,9.999941670050953,0.9892865193097027,0.12777778255036637,3.9709323869773954,0.11295910863716538,4.235161760827907,298.00000000000006
47,9.999951932929632,0.9890536175288943,0.13055556074999214,3.9700878489259437,0.11299317400673836,4.234612683350813,298.00000000000006
48,9.999961992861307,0.9888207157844743,0.1333333385156452,3.9692548798337257,0.11303388452095141,4.234072196938776,298.00000000000006
49,9.999971851772777,0.9885878140238674,0.1361111164743274,3.9684339442055685,0.11308039837359476,4.233539974434956,298.00000000000006
50,9.999981505520111,0.9883549123333464,0.13888889359713968,3.9676252712494358,0.11313191696820885,4.233015713869148,298.00000000000006
51,9.999990956162074,0.988122010600545,0.14166667122419568,3.966829158199819,0.11318768154171951,4.232499113945308,298.00000000000006
52,10.000000201323166,0.9878891088532983,0.14444444902354675,3.966046033221219,0.11324697351890788,4.231989892534444,298.00000000000006
53,10.000009242560662,0.9876562071175929,0.14722222668526033,3.965275351113026,0.11330912139768654,4.2314877701458515,298.00000000000006
54,10.000018078977147,0.9874233053707084,0.15000000448028333,3.964517221912436,0.11337349228822567,4.23099247499168,298.00000000000006
55,10.000026706481481,0.9871904036222101,0.15277778229454098,3.9637717633727205,0.1134394894393222,4.230503748409682,298.00000000000006
56,10.00003473543865,0.9869575018745371,0.15555556009896024,3.9630388555409786,0.11350655540557732,4.230021542066668,298.00000000000006
57,10.000039921606902,0.9867246001277367,0.1583333378930164,3.962319272636632,0.11357416910751977,4.229550706182709,298.00000000000006
58,10.000045639570732,0.9864916983813661,0.16111111568191788,3.961612459551144,0.11364184305897107,4.229092302440141,298.00000000000006
59,10.000051767678078,0.9862587966351287,0.16388889346923094,3.960917339536654,0.11370911802425353,4.228644886371671,298.00000000000006
60,10.000058241632031,0.9860258948888835,0.16666667125664564,3.9602323883579653,0.1137755681225636,4.2282071347077945,298.00000000000006
61,10.000065030946994,0.985792993142626,0.16944444904417486,3.9595563991469254,0.11384079544940238,4.227777822330465,298.00000000000006
62,10.000072107169732,0.9855600913963611,0.17222222683182822,3.9588882923470488,0.1139044244166473,4.22735577015522,298.00000000000006
63,10.000079446202111,0.9853271896500834,0.1750000046196175,3.9582268146126376,0.11396610397085377,4.226939844528279,298.00000000000006
64,10.000087027007742,0.9850942879285716,0.17777778211203552,3.957570751671691,0.11402550530075566,4.226528951472331,298.00000000000006
65,10.000094831559212,0.9848613861973472,0.18055555972028656,3.956918959666426,0.11408231694293806,4.226122023126498,298.00000000000006
66,10.000102841538762,0.984628484326889,0.18333333898915416,3.9562702161488055,0.11413624485614247,4.225718015408526,298.00000000000006
67,10.00011103218839,0.9843955825381794,0.1861111172830211,3.9556235864111056,0.11418701122519855,4.225315924506573,298.00000000000006
68,10.000119383923408,0.9841626809062441,0.1888888937070926,3.954978059111175,0.11423434957581013,4.224914763186552,298.00000000000006
69,10.000127872434517,0.9839297791957662,0.19166667106790752,3.95433267203017,0.11427800484828911,4.224513567865392,298.00000000000006
70,10.0001364668402,0.983696877446753,0.19444444888834464,3.953686850232709,0.11431773030622895,4.2241114128512125,298.00000000000006
71,10.000145139901372,0.9834639757108302,0.19722222655261662,3.953039703018544,0.11435328647143668,4.223707391665483,298.00000000000006
72,10.00015386063094,0.9832310739440798,0.20000000458460554,3.952390516831649,0.11438443772364869,4.223300619692786,298.00000000000006
73,10.000162595296784,0.9829981721355461,0.20277778311487826,3.9517385819814335,0.11441118132924918,4.2228902385896,298.00000000000006
74,10.00017130773849,0.9827652703985704,0.20555556079171078,3.9510831613314332,0.11443643615831461,4.222475414450419,298.00000000000006
75,10.000179963986392,0.9825323686683969,0.20833333838746695,3.950423773514752,0.11446114671450458,4.222055333131889,298.00000000000006
76,10.000188522601187,0.9822994669309002,0.21111111607052044,3.9497602479132263,0.1144853137478284,4.221629217041648,298.00000000000006
77,10.000196944519075,0.9820665651768149,0.2138888939514669,3.9490923934318434,0.11450894210177036,4.221196310312006,298.00000000000006
78,10.000205187192185,0.9818336634386055,0.21666667164303105,3.948420179715374,0.11453203771457615,4.220755890465196,298.00000000000006
