% Model,TEC_discharge_model_T002.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 11:45"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.543689176891833,0.9999999994621698,6.413845976895635E-9,4.045976309285566,0.11138700781743961,4.305299877358418,299
1,11.543978550230792,0.9997311161948503,0.0032069294167421836,4.031178893182489,0.1115076655294632,4.2912626878141635,299
2,11.54405179234968,0.9994622329274262,0.006413852420714912,4.0250408279804,0.1115360800159757,4.28564119236019,299
3,11.544096399778834,0.9991933496599552,0.009620775425146787,4.020296876127107,0.1115652714674004,4.281414938421932,299
4,11.544128797157205,0.9989244663925746,0.012827698428421325,4.016227923726194,0.11160248137552055,4.277888017917657,299
5,11.54415543576591,0.9986555831251832,0.016034621431858687,4.012641142368222,0.11165949244787142,4.274859043158907,299
6,11.544177301649185,0.9983866998577781,0.01924154443542887,4.009361308366392,0.1117752728406501,4.272183402216637,299
7,11.544196317141939,0.9981178165903609,0.022448467439120635,4.006333918053939,0.1119269910027357,4.269777054896833,299
8,11.544213669150253,0.9978489333229397,0.025655390442928708,4.003523825475012,0.11209379689737588,4.267584448985288,299
9,11.544230111922204,0.9975800500555019,0.028862313446850668,4.000905791714206,0.11226177088998739,4.2655667027227055,299
10,11.544246125256297,0.9973111667880604,0.03206923645088498,3.9984609754906955,0.11242125750761965,4.263695377837859,299
11,11.54426180984739,0.9970422835207808,0.0352761594529406,3.996147673105196,0.11256751853526427,4.26192479651161,299
12,11.544277477440447,0.9967734002534914,0.03848308245515678,3.9939801366932266,0.11269312817052095,4.260261292967128,299
13,11.544293441575267,0.9965045169860589,0.041690005459021184,3.9919491491150754,0.11279386974712607,4.258697012389083,299
14,11.544310150482561,0.9962356337185844,0.04489692846340716,3.990037689483711,0.11286718864474665,4.257220248374541,299
15,11.544327216955603,0.995966750451093,0.048103851468034836,3.9882305073432396,0.11291135276560822,4.255821555922696,299
16,11.54434463735196,0.9956978671835921,0.05131077447273917,3.9865114192485898,0.11292517141695689,4.254491730725604,299
17,11.544362373399663,0.9954289839160819,0.054517697477473155,3.984863305577,0.11292352370837082,4.253223015554599,299
18,11.54438034726145,0.9951601006485806,0.0577246204822394,3.9832757243882,0.11291933301176395,4.252008431350569,299
19,11.544398521932289,0.9948912173810724,0.06093154348704975,3.981743589790884,0.11291316567785516,4.250843582381265,299
20,11.544416848582427,0.994622334113559,0.06413846649190727,3.980262086261591,0.11290550805217092,4.249724253130068,299
21,11.544435276508109,0.9943534508460397,0.06734538949681126,3.9788268767824033,0.11289677834948825,4.248646632476279,299
22,11.544453770710282,0.994084567576763,0.07055231252272096,3.9774344220165836,0.11288734148927995,4.247607639329122,299
