% Model,TEC_discharge_model_026.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 23 2021, 13:14"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.543718305712256,0.9999999994621696,6.413846345756404E-9,4.042649168471743,0.11148736868018444,4.305143453753204,298.00000000000006
1,11.544004112103897,0.999731116194845,0.0032069294167756334,4.027635229308063,0.11164889327820257,4.2908157642148606,298.00000000000006
2,11.544074743361994,0.9994622329275124,0.0064138524197099095,4.021330973661394,0.11173787362182008,4.2851305058876346,298.00000000000006
3,11.54411848861611,0.9991933496601529,0.009620775422743156,4.016199682492659,0.11202951644732179,4.280793976643949,298.00000000000006
4,11.544149677761684,0.9989244663927488,0.012827698426301475,4.01180719359398,0.11241529513601184,4.27723865123708,298.00000000000006
5,11.544174826851833,0.9986555831253403,0.016034621429965333,4.008076412419006,0.11274428590362646,4.274209645711078,298.00000000000006
6,11.544196028914435,0.9983866998579214,0.019241544433712947,4.004766858560563,0.11295956223735608,4.2714993093444695,298.00000000000006
7,11.54421405406066,0.9981178165904885,0.022448467437563138,4.0018981167745915,0.11302608643946935,4.269064172216824,298.00000000000006
8,11.544230427151241,0.9978489333230562,0.025655390441518457,3.9992852167524884,0.11301776883829324,4.266847246240522,298.00000000000006
9,11.544245898395912,0.9975800500556098,0.028862313445580934,3.9968604266422916,0.11300013701358252,4.264808719506639,298.00000000000006
10,11.544260951446761,0.9973111667881547,0.03206923644975209,3.9945891061699825,0.11297824268302252,4.2629194997506605,298.00000000000006
11,11.54427568538859,0.9970422835206671,0.035276159454329103,3.9924186890847713,0.1129553893219984,4.2611331215588,298.00000000000006
12,11.544290423395166,0.996773400253256,0.03848308245794079,3.990341370020712,0.1129346584002875,4.259455837704945,298.00000000000006
