% Model,TEC_discharge_model_006.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 29 2021, 10:17"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,5.7709457469932905,0.9999999997310517,3.2069232648595306E-9,4.140750138565283,0.1114873668246879,4.305143590455411,298.00000000000006
17.28,5.772109113248444,0.9976768483002154,0.027707817963929446,4.113865389826898,0.11174061668319467,4.282654412064048,298.00000000000006
34.56,5.772318013547845,0.9953536968676017,0.055415632741322926,4.100467878477615,0.11246713225515106,4.272958258974335,298.00000000000006
51.84,5.7724532197760166,0.9930305454323237,0.08312344755050925,4.090301812868425,0.11299926387336608,4.265563161636155,298.00000000000006
69.12,5.772546358751467,0.9907073939874539,0.11083126247408612,4.082210851896266,0.11300766701760319,4.259364695236544,298.00000000000006
86.4,5.772605892933977,0.9883842425533711,0.13853907726898554,4.075333059572738,0.11295675728913833,4.2540065010097345,298.00000000000006
103.68,5.772642447043874,0.9860610911165517,0.1662468920965462,4.069235233600974,0.11291440926913468,4.249228089351204,298.00000000000006
120.96000000000001,5.772662654932752,0.9837379396774782,0.1939547069510255,4.063632949345944,0.11293762990494544,4.244886379028184,298.00000000000006
138.24,5.772672663289654,0.9814147875972301,0.2216625294526372,4.05844173547476,0.11326278967332348,4.240878940301362,298.00000000000006
155.52,5.7726772367897015,0.9790916335452793,0.24937037547041357,4.053733526091075,0.11373587855011788,4.237151217842756,298.00000000000006
172.8,5.772676428195422,0.9767684861441409,0.2770781421651628,4.049509814074085,0.11416965061412022,4.233649843925268,298.00000000000006
190.08,5.772669828946967,0.9744453354759273,0.3047859478256918,4.0457210939895045,0.11443688941166245,4.230335963926288,298.00000000000006
207.36,5.772686088620552,0.972122181372439,0.33249379445812416,4.042190045016771,0.11460853476151837,4.22725393317807,298.00000000000006
224.64000000000001,5.772697289795889,0.9697990289922,0.36020162053769483,4.038652154487184,0.11475427451081664,4.224272142323496,298.00000000000006
241.92000000000002,5.772679870217759,0.9674758788403516,0.3879094200396015,4.034845818510825,0.1148749140831589,4.221042292143451,298.00000000000006
259.20000000000005,5.772609602121039,0.9651527276582456,0.41561723182927723,4.0306427355080565,0.11497131064257932,4.217232760412575,298.00000000000006
276.48,5.772559243312672,0.9628295813961784,0.44332498493851735,4.026238097967092,0.11504527589907333,4.2128839053247935,298.00000000000006
293.76,5.772548842100627,0.9605064285833099,0.47103281617793974,4.022007485190952,0.11511230628458873,4.208532136678436,298.00000000000006
311.04,5.772579876363509,0.9581832763403823,0.4987406406198227,4.018130307810021,0.11517300997539905,4.20454969699937,298.00000000000006
328.32000000000005,5.772583427078233,0.9558601262636367,0.5264484392260127,4.014522141311124,0.11522227566559856,4.200958199978699,298.00000000000006
345.6,5.77258350570733,0.9535369752676986,0.5541562487952929,4.011041021401699,0.1152552853182783,4.197526118444322,298.00000000000006
362.88,5.7725775123700975,0.9512138228746165,0.5818640750280398,4.007630014459254,0.1152672362806483,4.194178230558866,298.00000000000006
380.16,5.772565385646629,0.9488906720189167,0.6095718829246922,4.0042492622519035,0.11526601519783151,4.190858315271243,298.00000000000006
397.44000000000005,5.772560400498584,0.94656752010081,0.6372797034924502,4.000905451827472,0.11526306411692509,4.187588987626703,298.00000000000006
414.72,5.772557418742837,0.9442443680326205,0.6649875258502622,3.9976075965351057,0.11525938762175167,4.184395336828792,298.00000000000006
432,5.772557334359749,0.9419212161971535,0.6926953454324185,3.9943814516297906,0.11525603215702579,4.181291543246117,298.00000000000006
449.28000000000003,5.772547429627496,0.9395980636873524,0.720403173057245,3.9912571717439294,0.11525409593394112,4.178272910741435,298.00000000000006
466.56000000000006,5.772541928441364,0.9372749118941457,0.7481109921353762,3.988259436513088,0.11526791287325333,4.175341529621542,298.00000000000006
483.84000000000003,5.7725445989800335,0.9349517600384273,0.7758188119591054,3.9854005902592977,0.11533243278115475,4.172547882181616,298.00000000000006
501.12,5.772560862612789,0.9326286028657281,0.8035266951974516,3.982673188256962,0.1154387423865685,4.169923700268934,298.00000000000006
518.4000000000001,5.772580864730456,0.9303054478238963,0.8312345530213673,3.980040662123246,0.11557523750768293,4.167475235644957,298.00000000000006
535.6800000000001,5.772585812583129,0.9279822971090389,0.858942359238235,3.9774273787077608,0.11573102264464885,4.1651141320897604,298.00000000000006
552.96,5.772570648965888,0.9256591432822128,0.8866502025709779,3.9747448783217885,0.11591739234010809,4.16273402342622,298.00000000000006
570.24,5.77257049292184,0.9233359925998144,0.9143580084006995,3.9719535759330316,0.11627215582091852,4.160277439417739,298.00000000000006
587.52,5.772576054419314,0.9210128447016637,0.9420657810231667,3.9690804112280937,0.11672229681128343,4.157802884797041,298.00000000000006
604.8000000000001,5.772557152396342,0.9186896952797501,0.9697735718193378,3.9660961395780463,0.11716176987378617,4.1551960337563685,298.00000000000006
622.08,5.772508683352123,0.9163665411430436,0.9974814188480052,3.962989621124554,0.11751741354679662,4.152369847995718,298.00000000000006
639.36,5.772463640493566,0.9140433954040837,1.0251891657181957,3.959780931556724,0.11771519171791868,4.149283224806006,298.00000000000006
656.6400000000001,5.772452151433855,0.9117202445217749,1.0528969739321907,3.9565570493331794,0.11772669889853918,4.146084211261163,298.00000000000006
